納品数,販売数,時系列インデックス,タイトル,累積販売数,消化率
0,389,29,一番くじツイステッドワンダーランド第二弾,613434,0.9934636500558731
0,70,30,一番くじツイステッドワンダーランド第二弾,613504,0.9935770158874115
0,71,31,一番くじツイステッドワンダーランド第二弾,613575,0.993692001230829
0,56,32,一番くじツイステッドワンダーランド第二弾,613631,0.9937826938960598
0,41,33,一番くじツイステッドワンダーランド第二弾,613672,0.9938490938831036
0,92,34,一番くじツイステッドワンダーランド第二弾,613764,0.9939980889759826
0,109,35,一番くじツイステッドワンダーランド第二弾,613873,0.9941746157708067
0,32,36,一番くじツイステッドワンダーランド第二弾,613905,0.9942264401509385
0,53,37,一番くじツイステッドワンダーランド第二弾,613958,0.9943122742805318
0,54,38,一番くじツイステッドワンダーランド第二弾,614012,0.9943997279220043
0,137,39,一番くじツイステッドワンダーランド第二弾,614149,0.9946216010494437
0,61,40,一番くじツイステッドワンダーランド第二弾,614210,0.99472039127407
0,11,41,一番くじツイステッドワンダーランド第二弾,614221,0.9947382059047403
0,18,42,一番くじツイステッドワンダーランド第二弾,614239,0.9947673571185645
0,31,43,一番くじツイステッドワンダーランド第二弾,614270,0.9948175619868171
0,88,44,一番くじツイステッドワンダーランド第二弾,614358,0.9949600790321798
0,80,45,一番くじツイステッドワンダーランド第二弾,614438,0.9950896399825093
0,11,46,一番くじツイステッドワンダーランド第二弾,614449,0.9951074546131796
0,22,47,一番くじツイステッドワンダーランド第二弾,614471,0.9951430838745202
0,2,48,一番くじツイステッドワンダーランド第二弾,614473,0.9951463228982784
0,7,49,一番くじツイステッドワンダーランド第二弾,614480,0.9951576594814323
0,53,50,一番くじツイステッドワンダーランド第二弾,614533,0.9952434936110256
0,30,51,一番くじツイステッドワンダーランド第二弾,614563,0.9952920789673992
0,4,52,一番くじツイステッドワンダーランド第二弾,614567,0.9952985570149157
0,11,53,一番くじツイステッドワンダーランド第二弾,614578,0.9953163716455861
0,92,54,一番くじツイステッドワンダーランド第二弾,614670,0.995465366738465
0,79,55,一番くじツイステッドワンダーランド第二弾,614749,0.9955933081769155
0,9,56,一番くじツイステッドワンダーランド第二弾,614758,0.9956078837838276
0,73,57,一番くじツイステッドワンダーランド第二弾,614831,0.9957261081510033
0,36,58,一番くじツイステッドワンダーランド第二弾,614867,0.9957844105786516
0,69,59,一番くじツイステッドワンダーランド第二弾,614936,0.9958961568983109
0,5885,0,一番くじツイステッドワンダーランド第二弾,5885,0.01112053832097823
256691,62616,1,一番くじツイステッドワンダーランド第二弾,68501,0.12944231019971617
272440,75459,2,一番くじツイステッドワンダーランド第二弾,143960,0.27203274370229835
0,55233,3,一番くじツイステッドワンダーランド第二弾,199193,0.37640329477835455
0,47888,4,一番くじツイステッドワンダーランド第二弾,247081,0.46689443141641834
0,33910,5,一番くじツイステッドワンダーランド第二弾,280991,0.5309721636958358
0,24022,6,一番くじツイステッドワンダーランド第二弾,305013,0.5763651240265986
0,19368,7,一番くじツイステッドワンダーランド第二弾,324381,0.6129636943240848
0,13824,8,一番くじツイステッドワンダーランド第二弾,338205,0.6390860939416214
0,15101,9,一番くじツイステッドワンダーランド第二弾,353306,0.6676215653409574
0,13666,10,一番くじツイステッドワンダーランド第二弾,366972,0.6934454016526802
0,13770,11,一番くじツイステッドワンダーランド第二弾,380742,0.7194657606467108
0,10858,12,一番くじツイステッドワンダーランド第二弾,391600,0.7399834845361214
0,7978,13,一番くじツイステッドワンダーランド第二弾,399578,0.7550590418385453
0,5170,14,一番くじツイステッドワンダーランド第二弾,404748,0.764828486718657
0,5627,15,一番くじツイステッドワンダーランド第二弾,410375,0.7754614976162176
